run_ts_utc,experiment_name,model,feature_set,logloss,accuracy
2026-04-13T17:56:28.618321+00:00,baseline_xgboost_v3_formpoints,mlp,model_only,0.991881,0.516272
2026-04-13T17:56:28.618321+00:00,baseline_xgboost_v3_formpoints,xgb,market_only,0.979371,0.532544
2026-04-13T17:56:28.618321+00:00,baseline_xgboost_v3_formpoints,mlp,market_only,1.012824,0.530325
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,all_features,0.986081,0.534763
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,all_features,0.982312,0.525888
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,no_market,0.997602,0.522189
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,no_market,1.001705,0.517751
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,no_elo,0.984364,0.536982
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,no_elo,0.989664,0.522189
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,no_xg,0.984712,0.529586
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,no_xg,0.993805,0.517012
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,no_momentum,0.983982,0.532544
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,no_momentum,0.995449,0.52071
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,no_rest,0.986129,0.536243
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,no_rest,0.986394,0.525888
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,no_form,0.986192,0.534024
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,no_form,0.991646,0.52145
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,model_only,1.001562,0.513314
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,model_only,0.991881,0.516272
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,xgb,market_only,0.979371,0.532544
2026-04-26T15:03:51.695604+00:00,baseline_xgboost_v3_formpoints,mlp,market_only,1.012824,0.530325
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,all_features,0.979956,0.536243
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,all_features,1.000474,0.507396
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,no_market,0.991956,0.52145
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,no_market,1.00822,0.488905
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,no_elo,0.980586,0.54068
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,no_elo,0.982181,0.518491
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,no_xg,0.98,0.534024
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,no_xg,0.97801,0.531065
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,no_momentum,0.980146,0.536982
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,no_momentum,0.983829,0.529586
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,no_rest,0.978843,0.536982
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,no_rest,0.984468,0.523669
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,no_form,0.980248,0.536982
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,no_form,0.978747,0.538462
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,model_only,0.997202,0.511095
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,model_only,0.996313,0.514053
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,xgb,market_only,0.977261,0.531065
2026-04-26T17:51:41.949124+00:00,baseline_xgboost_v3_formpoints,mlp,market_only,1.021785,0.491864
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,all_features,0.980271,0.538462
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,all_features,0.988705,0.531065
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,core_18,0.980725,0.536982
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,core_18,0.988131,0.529586
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_features,0.980725,0.536982
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_features,0.988131,0.529586
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_stats,0.978493,0.54142
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_stats,0.998828,0.508876
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_odds_context,0.982562,0.538462
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_odds_context,0.986501,0.525148
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_odds,0.978493,0.54142
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_odds,0.998828,0.508876
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_stats,0.982562,0.538462
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_stats,0.986501,0.525148
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_new_local,0.980271,0.538462
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_new_local,0.988705,0.531065
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_market,0.992209,0.51997
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_market,1.017279,0.488905
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_elo,0.980972,0.539201
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_elo,0.999939,0.511095
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_xg,0.980202,0.536982
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_xg,0.994801,0.525148
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_momentum,0.9805,0.534763
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_momentum,1.000328,0.514053
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_rest,0.979309,0.537722
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_rest,0.984353,0.508876
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,no_form,0.980412,0.538462
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,no_form,1.00613,0.488905
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,model_only,0.99758,0.511095
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,model_only,0.994145,0.52071
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,market_only,0.977849,0.534763
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,market_only,0.977038,0.535503
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,xgb,market_plus_context,0.976852,0.532544
2026-04-26T21:30:23.190296+00:00,baseline_xgboost_v3_formpoints,mlp,market_plus_context,0.985853,0.529586
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,all_features,0.978896,0.534763
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,all_features,0.985681,0.522189
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,core_18,0.979443,0.534763
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,core_18,0.991889,0.51997
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_features,0.979443,0.534763
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_features,0.991889,0.51997
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_stats,0.977197,0.535503
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_stats,0.989411,0.531805
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_odds_context,0.981831,0.538462
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_odds_context,0.996138,0.506657
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_odds,0.977197,0.535503
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_odds,0.989411,0.531805
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_stats,0.981831,0.538462
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_stats,0.996138,0.506657
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_new_local,0.978896,0.534763
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_new_local,0.985681,0.522189
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_market,0.991353,0.517012
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_market,1.064737,0.470414
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_elo,0.980148,0.54068
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_elo,0.985783,0.523669
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_xg,0.978769,0.534763
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_xg,1.003847,0.495562
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_momentum,0.979227,0.534763
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_momentum,0.984295,0.519231
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_rest,0.977456,0.538462
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_rest,0.984321,0.504438
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,no_form,0.979431,0.536982
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,no_form,0.989251,0.522189
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,model_only,0.996581,0.511095
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,model_only,0.996204,0.515533
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,market_only,0.97598,0.531805
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,market_only,0.981,0.531805
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,xgb,market_plus_context,0.975524,0.532544
2026-04-27T10:27:29.097492+00:00,baseline_xgboost_v3_formpoints,mlp,market_plus_context,0.976509,0.54068
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,all_features,0.981113,0.54142
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,all_features,0.993504,0.514793
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_18,0.982528,0.54068
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_18,0.985627,0.519231
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_data_features,0.982528,0.54068
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_data_features,0.985627,0.519231
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_features,0.982969,0.537722
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_features,0.988202,0.522189
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_stats,0.98014,0.535503
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_stats,0.984044,0.517751
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_understat_xg,0.980709,0.537722
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_understat_xg,0.995729,0.502959
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_odds_context,0.98382,0.534763
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_odds_context,0.987304,0.515533
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_odds,0.979781,0.534763
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_odds,0.980572,0.525888
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_stats,0.984,0.531065
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_stats,1.004785,0.496302
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_new_local,0.980709,0.537722
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_new_local,0.995729,0.502959
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_understat_xg,0.982969,0.537722
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_understat_xg,0.988202,0.522189
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,market_plus_understat_xg,0.978331,0.530325
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,market_plus_understat_xg,0.979851,0.526627
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,market_context_plus_understat_xg,0.976776,0.531805
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,market_context_plus_understat_xg,0.977056,0.533284
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_market,0.993727,0.514793
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_market,1.05658,0.423817
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_elo,0.982504,0.535503
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_elo,0.996286,0.505917
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_xg,0.982185,0.54068
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_xg,0.984309,0.526627
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_momentum,0.980605,0.531065
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_momentum,0.993124,0.512574
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_rest,0.980518,0.535503
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_rest,0.989978,0.515533
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,no_form,0.98151,0.536243
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,no_form,0.992112,0.502219
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,model_only,0.99935,0.508876
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,model_only,1.020747,0.507396
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,market_only,0.976951,0.534763
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,market_only,1.031649,0.473373
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,xgb,market_plus_context,0.97613,0.531065
2026-04-27T10:48:46.990190+00:00,baseline_xgboost_v3_formpoints,mlp,market_plus_context,0.981549,0.534763
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,all_features,0.979144,0.54068
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,all_features,1.003188,0.504438
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,core_18,0.979826,0.539201
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,core_18,0.985545,0.518491
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_data_features,0.979826,0.539201
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_data_features,0.985545,0.518491
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_features,0.980065,0.534763
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_features,0.988862,0.522189
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,no_new_local_stats,0.977806,0.536982
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,no_new_local_stats,0.985394,0.513314
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,no_understat_xg,0.978724,0.539941
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,no_understat_xg,0.994964,0.5
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,no_odds_context,0.981384,0.54068
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,no_odds_context,0.987925,0.506657
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_odds,0.977375,0.536243
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_odds,0.997353,0.514053
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_stats,0.981377,0.539201
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_stats,1.002599,0.495562
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_new_local,0.978724,0.539941
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_new_local,0.994964,0.5
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,core_plus_understat_xg,0.980065,0.534763
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,core_plus_understat_xg,0.988862,0.522189
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,market_plus_understat_xg,0.977252,0.529586
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,mlp,market_plus_understat_xg,0.99247,0.524408
2026-04-27T10:58:45.866301+00:00,baseline_xgboost_v3_formpoints,xgb,market_context_plus_understat_xg,0.976505,0.531805
