run_ts_utc,experiment_name,model,group_type,group_value,bets,wins,hit_rate,avg_odds,invested,returned,profit,roi
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league,france,182,41,22.5275,4.3626,3.667916,3.031342,-0.636573,-17.3552
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league,germany,163,42,25.7669,3.9121,3.332427,2.996495,-0.335932,-10.0807
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league,italy,213,56,26.2911,4.5164,4.006251,3.725265,-0.280986,-7.0137
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league,spain,197,57,28.934,4.0537,3.459704,3.682861,0.223157,6.4502
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,season,2025-2026,1015,273,26.8966,4.142,20.899502,19.043297,-1.856205,-8.8816
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league_season,england|2025-2026,260,77,29.6154,3.8919,6.433205,5.607335,-0.82587,-12.8376
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league_season,france|2025-2026,182,41,22.5275,4.3626,3.667916,3.031342,-0.636573,-17.3552
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league_season,germany|2025-2026,163,42,25.7669,3.9121,3.332427,2.996495,-0.335932,-10.0807
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league_season,italy|2025-2026,213,56,26.2911,4.5164,4.006251,3.725265,-0.280986,-7.0137
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,base,league_season,spain|2025-2026,197,57,28.934,4.0537,3.459704,3.682861,0.223157,6.4502
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,market,all,all,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,all,all,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league,england,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league,france,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league,germany,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league,italy,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league,spain,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,season,2025-2026,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league_season,england|2025-2026,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league_season,france|2025-2026,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league_season,germany|2025-2026,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league_season,italy|2025-2026,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,meta,league_season,spain|2025-2026,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,all,all,1192,416,34.8993,3.4368,19.345574,19.217556,-0.128018,-0.6617
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league,england,272,93,34.1912,3.3616,4.296392,4.115013,-0.18138,-4.2217
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league,france,210,72,34.2857,3.2898,3.405164,3.313532,-0.091631,-2.691
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league,germany,200,73,36.5,3.2265,3.053668,3.036284,-0.017384,-0.5693
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league,italy,263,100,38.0228,3.7281,4.580937,5.082784,0.501847,10.9551
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league,spain,247,78,31.5789,3.5047,4.009413,3.669943,-0.33947,-8.4668
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,season,2025-2026,1192,416,34.8993,3.4368,19.345574,19.217556,-0.128018,-0.6617
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league_season,england|2025-2026,272,93,34.1912,3.3616,4.296392,4.115013,-0.18138,-4.2217
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league_season,france|2025-2026,210,72,34.2857,3.2898,3.405164,3.313532,-0.091631,-2.691
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league_season,germany|2025-2026,200,73,36.5,3.2265,3.053668,3.036284,-0.017384,-0.5693
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league_season,italy|2025-2026,263,100,38.0228,3.7281,4.580937,5.082784,0.501847,10.9551
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,logreg,league_season,spain|2025-2026,247,78,31.5789,3.5047,4.009413,3.669943,-0.33947,-8.4668
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,all,all,1029,299,29.0573,4.0264,16.331564,16.661478,0.329914,2.0201
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league,england,246,77,31.3008,4.0373,3.886403,4.558601,0.672198,17.2961
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league,france,173,42,24.2775,4.0123,2.87831,2.569643,-0.308666,-10.7239
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league,germany,193,58,30.0518,3.6916,3.258265,3.024248,-0.234017,-7.1823
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league,italy,209,69,33.0144,4.343,3.26329,3.583406,0.320116,9.8096
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league,spain,208,53,25.4808,4.0176,3.045297,2.92558,-0.119717,-3.9312
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,season,2025-2026,1029,299,29.0573,4.0264,16.331564,16.661478,0.329914,2.0201
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league_season,england|2025-2026,246,77,31.3008,4.0373,3.886403,4.558601,0.672198,17.2961
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league_season,france|2025-2026,173,42,24.2775,4.0123,2.87831,2.569643,-0.308666,-10.7239
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league_season,germany|2025-2026,193,58,30.0518,3.6916,3.258265,3.024248,-0.234017,-7.1823
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league_season,italy|2025-2026,209,69,33.0144,4.343,3.26329,3.583406,0.320116,9.8096
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,mlp,league_season,spain|2025-2026,208,53,25.4808,4.0176,3.045297,2.92558,-0.119717,-3.9312
2026-04-27T12:52:43.465916+00:00,final_market_xg_comparison,ensemble,all,all,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,all,all,1015,273,26.8966,4.142,20.899502,19.043297,-1.856205,-8.8816
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league,england,260,77,29.6154,3.8919,6.433205,5.607335,-0.82587,-12.8376
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league,france,182,41,22.5275,4.3626,3.667916,3.031342,-0.636573,-17.3552
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league,germany,163,42,25.7669,3.9121,3.332427,2.996495,-0.335932,-10.0807
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league,italy,213,56,26.2911,4.5164,4.006251,3.725265,-0.280986,-7.0137
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league,spain,197,57,28.934,4.0537,3.459704,3.682861,0.223157,6.4502
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,season,2025-2026,1015,273,26.8966,4.142,20.899502,19.043297,-1.856205,-8.8816
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league_season,england|2025-2026,260,77,29.6154,3.8919,6.433205,5.607335,-0.82587,-12.8376
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league_season,france|2025-2026,182,41,22.5275,4.3626,3.667916,3.031342,-0.636573,-17.3552
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league_season,germany|2025-2026,163,42,25.7669,3.9121,3.332427,2.996495,-0.335932,-10.0807
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league_season,italy|2025-2026,213,56,26.2911,4.5164,4.006251,3.725265,-0.280986,-7.0137
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,base,league_season,spain|2025-2026,197,57,28.934,4.0537,3.459704,3.682861,0.223157,6.4502
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,market,all,all,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,all,all,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,england,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,france,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,germany,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,italy,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league,spain,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,season,2025-2026,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,england|2025-2026,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,france|2025-2026,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,germany|2025-2026,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,italy|2025-2026,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,meta,league_season,spain|2025-2026,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,all,all,1192,416,34.8993,3.4368,19.345574,19.217556,-0.128018,-0.6617
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,england,272,93,34.1912,3.3616,4.296392,4.115013,-0.18138,-4.2217
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,france,210,72,34.2857,3.2898,3.405164,3.313532,-0.091631,-2.691
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,germany,200,73,36.5,3.2265,3.053668,3.036284,-0.017384,-0.5693
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,italy,263,100,38.0228,3.7281,4.580937,5.082784,0.501847,10.9551
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league,spain,247,78,31.5789,3.5047,4.009413,3.669943,-0.33947,-8.4668
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,season,2025-2026,1192,416,34.8993,3.4368,19.345574,19.217556,-0.128018,-0.6617
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,england|2025-2026,272,93,34.1912,3.3616,4.296392,4.115013,-0.18138,-4.2217
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,france|2025-2026,210,72,34.2857,3.2898,3.405164,3.313532,-0.091631,-2.691
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,germany|2025-2026,200,73,36.5,3.2265,3.053668,3.036284,-0.017384,-0.5693
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,italy|2025-2026,263,100,38.0228,3.7281,4.580937,5.082784,0.501847,10.9551
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,spain|2025-2026,247,78,31.5789,3.5047,4.009413,3.669943,-0.33947,-8.4668
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,all,all,1029,299,29.0573,4.0264,16.331564,16.661478,0.329914,2.0201
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,england,246,77,31.3008,4.0373,3.886403,4.558601,0.672198,17.2961
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,france,173,42,24.2775,4.0123,2.87831,2.569643,-0.308666,-10.7239
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,germany,193,58,30.0518,3.6916,3.258265,3.024248,-0.234017,-7.1823
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,italy,209,69,33.0144,4.343,3.26329,3.583406,0.320116,9.8096
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,spain,208,53,25.4808,4.0176,3.045297,2.92558,-0.119717,-3.9312
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,season,2025-2026,1029,299,29.0573,4.0264,16.331564,16.661478,0.329914,2.0201
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,england|2025-2026,246,77,31.3008,4.0373,3.886403,4.558601,0.672198,17.2961
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,france|2025-2026,173,42,24.2775,4.0123,2.87831,2.569643,-0.308666,-10.7239
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,germany|2025-2026,193,58,30.0518,3.6916,3.258265,3.024248,-0.234017,-7.1823
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,italy|2025-2026,209,69,33.0144,4.343,3.26329,3.583406,0.320116,9.8096
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,spain|2025-2026,208,53,25.4808,4.0176,3.045297,2.92558,-0.119717,-3.9312
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,ensemble,all,all,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,all,all,1015,273,26.8966,4.142,20.899502,19.043297,-1.856205,-8.8816
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league,england,260,77,29.6154,3.8919,6.433205,5.607335,-0.82587,-12.8376
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league,france,182,41,22.5275,4.3626,3.667916,3.031342,-0.636573,-17.3552
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league,germany,163,42,25.7669,3.9121,3.332427,2.996495,-0.335932,-10.0807
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league,italy,213,56,26.2911,4.5164,4.006251,3.725265,-0.280986,-7.0137
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league,spain,197,57,28.934,4.0537,3.459704,3.682861,0.223157,6.4502
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,season,2025-2026,1015,273,26.8966,4.142,20.899502,19.043297,-1.856205,-8.8816
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league_season,england|2025-2026,260,77,29.6154,3.8919,6.433205,5.607335,-0.82587,-12.8376
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league_season,france|2025-2026,182,41,22.5275,4.3626,3.667916,3.031342,-0.636573,-17.3552
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league_season,germany|2025-2026,163,42,25.7669,3.9121,3.332427,2.996495,-0.335932,-10.0807
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league_season,italy|2025-2026,213,56,26.2911,4.5164,4.006251,3.725265,-0.280986,-7.0137
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,base,league_season,spain|2025-2026,197,57,28.934,4.0537,3.459704,3.682861,0.223157,6.4502
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,market,all,all,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,all,all,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league,england,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league,france,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league,germany,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league,italy,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league,spain,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,season,2025-2026,958,267,27.8706,3.984,14.660186,14.324823,-0.335363,-2.2876
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league_season,england|2025-2026,212,66,31.1321,3.9257,3.378134,3.821365,0.443231,13.1206
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league_season,france|2025-2026,166,37,22.2892,3.9482,2.692767,1.922152,-0.770615,-28.618
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league_season,germany|2025-2026,169,51,30.1775,3.7929,2.666225,2.60101,-0.065214,-2.4459
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league_season,italy|2025-2026,200,55,27.5,4.2303,2.942311,2.917774,-0.024536,-0.8339
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,meta,league_season,spain|2025-2026,211,58,27.4882,3.9903,2.980749,3.062521,0.081772,2.7433
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,logreg,all,all,1192,416,34.8993,3.4368,19.345574,19.217556,-0.128018,-0.6617
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,logreg,league,england,272,93,34.1912,3.3616,4.296392,4.115013,-0.18138,-4.2217
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,logreg,league,france,210,72,34.2857,3.2898,3.405164,3.313532,-0.091631,-2.691
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,logreg,league,germany,200,73,36.5,3.2265,3.053668,3.036284,-0.017384,-0.5693
2026-05-08T13:14:51.570559+00:00,final_market_xg_comparison,logreg,league,italy,263,100,38.0228,3.7281,4.580937,5.082784,0.501847,10.9551
